HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 30.5 MB/s
Transfer Rate Maximum : 71.1 MB/s
Transfer Rate Average : 51.3 MB/s
Position 	Transfer Rate
17.8 %	0.23 ms
17.8 %	0.20 ms
17.8 %	9.55 ms
18.2 %	14.83 ms
18.2 %	0.31 ms
18.2 %	0.35 ms
18.3 %	0.35 ms
18.3 %	0.38 ms
18.4 %	11.45 ms
18.4 %	0.43 ms
18.5 %	10.83 ms
18.5 %	9.59 ms
18.6 %	0.41 ms
18.6 %	0.34 ms
18.6 %	15.50 ms
18.7 %	0.46 ms
18.8 %	0.31 ms
18.8 %	0.51 ms
19.0 %	0.32 ms
19.1 %	9.81 ms
19.2 %	0.43 ms
19.2 %	6.89 ms
19.4 %	12.89 ms
19.5 %	15.30 ms
19.6 %	7.75 ms
19.7 %	12.71 ms
20.2 %	17.61 ms
20.2 %	8.12 ms
20.2 %	0.34 ms
20.3 %	7.00 ms
20.3 %	19.19 ms
20.3 %	0.49 ms
20.4 %	12.54 ms
20.4 %	9.18 ms
20.4 %	0.40 ms
20.4 %	10.16 ms
20.5 %	0.26 ms
20.5 %	0.51 ms
20.6 %	0.54 ms
20.7 %	0.32 ms
20.7 %	0.32 ms
20.8 %	15.59 ms
20.8 %	8.66 ms
20.8 %	0.30 ms
20.9 %	0.36 ms
20.9 %	8.87 ms
21.1 %	0.29 ms
21.2 %	0.36 ms
21.8 %	0.36 ms
21.9 %	17.55 ms
22.1 %	10.11 ms
22.2 %	10.68 ms
22.2 %	0.18 ms
22.2 %	0.34 ms
22.2 %	10.80 ms
22.3 %	8.75 ms
22.3 %	0.41 ms
22.4 %	0.39 ms
22.4 %	16.28 ms
22.4 %	0.35 ms
22.5 %	10.22 ms
22.5 %	0.67 ms
22.6 %	16.00 ms
22.7 %	18.15 ms
22.7 %	11.16 ms
22.8 %	0.53 ms
22.8 %	13.38 ms
23.0 %	0.44 ms
23.0 %	14.70 ms
23.0 %	15.51 ms
23.1 %	0.29 ms
23.1 %	0.38 ms
23.1 %	10.32 ms
23.2 %	0.35 ms
23.3 %	0.17 ms
23.4 %	13.97 ms
23.4 %	0.36 ms
23.6 %	0.40 ms
23.7 %	6.67 ms
23.8 %	0.35 ms
23.9 %	0.27 ms
23.9 %	0.47 ms
24.0 %	0.52 ms
24.1 %	0.53 ms
24.2 %	0.55 ms
24.6 %	11.72 ms
24.6 %	0.34 ms
24.7 %	0.50 ms
24.8 %	0.32 ms
25.0 %	21.38 ms
25.2 %	12.98 ms
25.2 %	0.17 ms
25.2 %	14.69 ms
25.2 %	0.28 ms
25.3 %	0.31 ms
25.4 %	0.35 ms
25.4 %	8.71 ms
25.5 %	0.38 ms
25.5 %	0.20 ms
25.5 %	0.33 ms
25.6 %	11.65 ms
25.6 %	0.19 ms
25.6 %	0.53 ms
26.1 %	0.52 ms
26.1 %	11.02 ms
26.1 %	0.45 ms
26.1 %	0.37 ms
26.2 %	15.03 ms
26.2 %	0.53 ms
26.3 %	18.80 ms
26.4 %	13.15 ms
26.5 %	7.86 ms
26.7 %	0.50 ms
26.7 %	0.34 ms
26.7 %	14.96 ms
26.7 %	0.39 ms
26.8 %	0.44 ms
27.1 %	9.16 ms
27.2 %	0.30 ms
27.3 %	8.75 ms
27.3 %	10.83 ms
27.3 %	0.41 ms
27.4 %	12.63 ms
27.5 %	9.04 ms
27.6 %	0.27 ms
27.6 %	0.42 ms
27.6 %	0.40 ms
27.7 %	0.21 ms
27.8 %	0.42 ms
27.9 %	8.97 ms
27.9 %	0.34 ms
27.9 %	0.35 ms
28.0 %	0.39 ms
28.1 %	7.32 ms
28.2 %	14.41 ms
28.2 %	0.39 ms
28.3 %	0.39 ms
28.3 %	0.37 ms
28.7 %	0.36 ms
28.7 %	0.43 ms
28.8 %	0.41 ms
29.2 %	13.07 ms
29.5 %	12.28 ms
29.6 %	17.42 ms
29.8 %	10.54 ms
29.9 %	0.35 ms
29.9 %	10.30 ms
30.1 %	0.42 ms
30.3 %	0.32 ms
30.6 %	10.18 ms
30.7 %	6.52 ms
30.7 %	0.33 ms
30.8 %	18.22 ms
30.8 %	7.90 ms
30.9 %	0.48 ms
31.0 %	0.43 ms
31.0 %	0.53 ms
31.2 %	11.66 ms
31.5 %	7.75 ms
31.6 %	0.39 ms
31.6 %	0.32 ms
31.7 %	0.42 ms
31.7 %	18.24 ms
31.7 %	0.31 ms
31.8 %	0.43 ms
31.9 %	0.54 ms
31.9 %	11.58 ms
32.2 %	8.17 ms
32.5 %	0.43 ms
32.8 %	18.46 ms
33.0 %	0.42 ms
33.0 %	6.93 ms
33.0 %	0.42 ms
33.2 %	10.02 ms
33.2 %	11.59 ms
33.6 %	0.20 ms
33.6 %	0.45 ms
33.6 %	0.43 ms
33.7 %	8.55 ms
33.8 %	0.34 ms
33.8 %	0.35 ms
33.8 %	7.44 ms
33.8 %	12.78 ms
33.9 %	0.44 ms
34.0 %	17.16 ms
34.1 %	0.38 ms
34.2 %	0.35 ms
34.2 %	16.09 ms
34.3 %	0.49 ms
34.3 %	0.38 ms
34.3 %	0.34 ms
34.7 %	0.41 ms
35.0 %	0.51 ms
35.1 %	0.69 ms
35.4 %	0.47 ms
35.5 %	16.09 ms
35.6 %	0.33 ms
35.6 %	0.46 ms
35.7 %	13.28 ms
35.7 %	9.31 ms
35.8 %	11.45 ms
35.9 %	0.36 ms
36.0 %	0.42 ms
36.0 %	0.41 ms
36.0 %	9.11 ms
36.1 %	0.32 ms
36.2 %	18.75 ms
36.6 %	16.56 ms
36.8 %	11.20 ms
36.9 %	16.04 ms
37.0 %	9.72 ms
37.1 %	0.37 ms
37.3 %	19.27 ms
37.4 %	0.44 ms
37.8 %	8.26 ms
37.9 %	9.41 ms
38.3 %	7.43 ms
38.3 %	0.34 ms
38.3 %	0.26 ms
38.5 %	0.34 ms
38.6 %	0.54 ms
38.7 %	10.42 ms
38.7 %	0.33 ms
38.8 %	9.49 ms
38.9 %	0.52 ms
38.9 %	12.38 ms
38.9 %	10.73 ms
39.2 %	9.81 ms
39.4 %	0.54 ms
39.5 %	0.52 ms
39.5 %	13.78 ms
39.5 %	15.62 ms
39.5 %	10.22 ms
39.8 %	10.81 ms
39.8 %	11.09 ms
39.9 %	0.46 ms
40.0 %	11.23 ms
40.0 %	0.35 ms
40.1 %	0.35 ms
40.2 %	16.20 ms
40.3 %	7.75 ms
40.6 %	9.13 ms
40.8 %	0.37 ms
40.9 %	0.30 ms
41.0 %	0.50 ms
41.5 %	0.37 ms
41.5 %	12.62 ms
41.6 %	10.48 ms
41.6 %	9.76 ms
41.7 %	0.34 ms
41.9 %	18.87 ms
41.9 %	10.11 ms
42.0 %	13.95 ms
42.1 %	0.40 ms
42.9 %	7.90 ms
43.1 %	11.82 ms
43.1 %	17.21 ms
43.2 %	0.39 ms
43.2 %	0.46 ms
43.3 %	0.18 ms
43.3 %	0.26 ms
43.3 %	0.31 ms
43.7 %	16.61 ms
43.8 %	6.38 ms
43.8 %	12.73 ms
43.8 %	0.50 ms
43.8 %	0.39 ms
44.0 %	12.07 ms
44.2 %	7.93 ms
44.3 %	8.70 ms
44.4 %	7.49 ms
44.4 %	7.77 ms
44.5 %	7.66 ms
44.5 %	0.52 ms
44.6 %	10.70 ms
44.7 %	0.41 ms
44.8 %	0.40 ms
45.0 %	0.38 ms
45.5 %	0.45 ms
45.6 %	9.84 ms
45.6 %	8.97 ms
45.7 %	0.40 ms
45.7 %	13.94 ms
46.0 %	10.20 ms
46.1 %	0.38 ms
46.4 %	13.21 ms
46.4 %	0.51 ms
46.5 %	8.50 ms
46.7 %	0.34 ms
46.7 %	16.51 ms
46.9 %	0.35 ms
47.1 %	0.33 ms
47.2 %	18.72 ms
47.5 %	0.37 ms
47.6 %	0.35 ms
47.7 %	0.36 ms
48.1 %	12.20 ms
48.2 %	12.53 ms
48.2 %	8.95 ms
48.5 %	11.21 ms
48.6 %	0.39 ms
48.6 %	11.03 ms
48.7 %	8.08 ms
49.0 %	8.10 ms
49.2 %	0.35 ms
49.2 %	0.53 ms
49.2 %	10.75 ms
49.4 %	0.52 ms
49.4 %	0.52 ms
50.0 %	0.36 ms
50.1 %	0.59 ms
50.2 %	11.04 ms
50.2 %	9.02 ms
50.3 %	0.37 ms
50.5 %	0.52 ms
50.5 %	13.58 ms
50.5 %	0.34 ms
50.6 %	0.34 ms
51.1 %	13.05 ms
51.2 %	0.36 ms
51.3 %	9.01 ms
51.3 %	7.78 ms
51.4 %	13.17 ms
51.4 %	22.56 ms
51.5 %	7.61 ms
51.6 %	9.95 ms
51.9 %	0.30 ms
51.9 %	0.43 ms
52.1 %	8.79 ms
52.1 %	10.41 ms
52.2 %	14.54 ms
52.3 %	11.25 ms
52.4 %	0.51 ms
52.4 %	0.48 ms
52.4 %	8.40 ms
52.6 %	10.44 ms
52.6 %	10.83 ms
52.9 %	0.40 ms
53.0 %	0.36 ms
53.3 %	10.22 ms
53.6 %	0.35 ms
53.8 %	0.26 ms
53.9 %	0.25 ms
54.1 %	0.38 ms
54.2 %	10.97 ms
54.3 %	7.46 ms
54.4 %	0.53 ms
54.5 %	0.29 ms
55.1 %	0.40 ms
55.3 %	7.21 ms
55.3 %	7.97 ms
55.5 %	14.54 ms
55.6 %	8.17 ms
55.7 %	0.19 ms
55.8 %	0.42 ms
55.8 %	0.46 ms
55.8 %	0.45 ms
56.1 %	0.35 ms
56.2 %	10.12 ms
56.3 %	0.41 ms
56.7 %	0.34 ms
56.7 %	0.42 ms
57.0 %	8.93 ms
57.1 %	16.42 ms
57.1 %	0.36 ms
57.1 %	9.99 ms
57.1 %	15.67 ms
57.2 %	0.38 ms
57.2 %	4.46 ms
57.6 %	0.40 ms
57.9 %	7.49 ms
58.0 %	0.30 ms
58.1 %	11.16 ms
58.2 %	0.48 ms
58.5 %	0.44 ms
58.7 %	14.41 ms
58.9 %	0.34 ms
59.0 %	0.35 ms
59.0 %	0.59 ms
59.1 %	0.41 ms
59.3 %	0.36 ms
59.4 %	0.46 ms
59.7 %	0.48 ms
60.0 %	0.38 ms
60.3 %	8.86 ms
60.5 %	7.22 ms
60.5 %	0.50 ms
60.6 %	14.09 ms
60.8 %	0.43 ms
60.9 %	16.70 ms
61.0 %	8.10 ms
61.2 %	9.87 ms
61.3 %	0.26 ms
61.5 %	0.25 ms
61.5 %	0.66 ms
61.8 %	4.98 ms
61.8 %	0.55 ms
62.0 %	11.03 ms
62.1 %	0.45 ms
62.1 %	0.18 ms
62.1 %	10.33 ms
62.2 %	0.46 ms
62.4 %	0.52 ms
62.5 %	9.99 ms
62.8 %	0.50 ms
63.0 %	0.33 ms
63.3 %	9.81 ms
63.3 %	0.36 ms
63.9 %	0.35 ms
64.2 %	0.44 ms
64.2 %	0.36 ms
64.2 %	13.69 ms
64.7 %	0.39 ms
64.8 %	7.28 ms
64.9 %	0.27 ms
65.1 %	9.29 ms
65.3 %	8.29 ms
65.4 %	12.92 ms
65.4 %	0.42 ms
65.5 %	0.36 ms
