HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 34.2 MB/s
Transfer Rate Maximum : 75.4 MB/s
Transfer Rate Average : 54.2 MB/s
Position 	Transfer Rate
30.4 %	4.49 ms
30.5 %	4.52 ms
30.7 %	7.36 ms
30.7 %	6.03 ms
30.9 %	4.94 ms
31.0 %	0.17 ms
31.0 %	3.29 ms
31.0 %	7.88 ms
31.0 %	14.17 ms
31.1 %	5.44 ms
31.3 %	4.73 ms
31.4 %	7.26 ms
31.5 %	8.69 ms
31.6 %	5.12 ms
31.7 %	15.41 ms
31.8 %	7.01 ms
31.8 %	13.23 ms
31.8 %	6.08 ms
31.8 %	3.61 ms
31.9 %	14.52 ms
31.9 %	0.17 ms
32.1 %	5.62 ms
32.2 %	2.55 ms
32.3 %	12.99 ms
32.8 %	5.03 ms
32.9 %	0.18 ms
33.2 %	0.16 ms
33.2 %	0.17 ms
33.3 %	5.01 ms
33.4 %	6.63 ms
33.5 %	6.64 ms
33.5 %	13.01 ms
33.6 %	8.70 ms
33.8 %	0.16 ms
33.9 %	5.41 ms
34.2 %	5.32 ms
34.3 %	0.18 ms
34.5 %	4.19 ms
34.6 %	15.41 ms
34.9 %	0.16 ms
34.9 %	14.89 ms
35.1 %	6.84 ms
35.2 %	14.65 ms
35.3 %	6.08 ms
35.4 %	5.05 ms
35.5 %	0.17 ms
35.6 %	3.58 ms
35.6 %	4.47 ms
35.7 %	0.16 ms
35.9 %	13.43 ms
36.1 %	7.54 ms
36.1 %	0.18 ms
36.2 %	5.47 ms
36.2 %	8.62 ms
36.5 %	3.90 ms
36.5 %	3.87 ms
36.6 %	4.91 ms
36.8 %	7.04 ms
36.9 %	1.88 ms
36.9 %	3.41 ms
37.0 %	8.29 ms
37.0 %	7.66 ms
37.0 %	7.97 ms
37.1 %	6.31 ms
37.2 %	8.83 ms
37.2 %	4.62 ms
37.3 %	5.89 ms
37.4 %	4.96 ms
37.5 %	14.54 ms
37.7 %	4.81 ms
37.7 %	5.62 ms
38.0 %	5.72 ms
38.1 %	13.67 ms
38.1 %	5.94 ms
38.2 %	3.63 ms
38.3 %	6.05 ms
38.4 %	14.04 ms
38.4 %	5.19 ms
38.5 %	4.57 ms
38.6 %	6.49 ms
38.8 %	0.17 ms
38.8 %	3.76 ms
39.0 %	5.85 ms
39.0 %	0.19 ms
39.1 %	6.21 ms
39.1 %	13.82 ms
39.2 %	0.16 ms
39.2 %	7.83 ms
39.3 %	7.91 ms
39.4 %	8.64 ms
39.4 %	0.16 ms
39.4 %	6.11 ms
39.5 %	4.54 ms
39.6 %	0.24 ms
39.8 %	13.23 ms
39.8 %	4.91 ms
39.8 %	6.80 ms
40.1 %	0.18 ms
40.1 %	7.83 ms
40.1 %	2.72 ms
40.2 %	14.40 ms
40.2 %	5.90 ms
40.2 %	0.17 ms
40.3 %	5.33 ms
40.5 %	5.24 ms
40.8 %	6.60 ms
40.8 %	8.44 ms
41.0 %	8.28 ms
41.0 %	8.51 ms
41.0 %	3.93 ms
41.1 %	0.16 ms
41.2 %	0.24 ms
41.5 %	6.35 ms
41.7 %	5.69 ms
42.1 %	0.18 ms
42.2 %	4.75 ms
42.2 %	5.69 ms
42.3 %	6.01 ms
42.4 %	3.70 ms
42.5 %	5.20 ms
42.5 %	4.34 ms
42.5 %	4.92 ms
42.5 %	7.34 ms
42.7 %	4.63 ms
42.8 %	7.33 ms
42.9 %	2.08 ms
43.0 %	5.25 ms
43.2 %	7.73 ms
43.3 %	6.51 ms
43.4 %	0.31 ms
43.7 %	7.06 ms
43.7 %	4.60 ms
43.9 %	4.98 ms
44.0 %	3.35 ms
44.0 %	4.50 ms
44.1 %	5.03 ms
44.3 %	8.22 ms
44.8 %	6.22 ms
44.9 %	3.17 ms
44.9 %	5.44 ms
44.9 %	5.59 ms
45.0 %	6.36 ms
45.1 %	7.57 ms
45.1 %	5.17 ms
45.7 %	5.36 ms
45.7 %	12.21 ms
45.8 %	5.11 ms
45.9 %	5.52 ms
46.0 %	0.17 ms
46.0 %	6.99 ms
46.1 %	0.22 ms
46.1 %	3.68 ms
46.1 %	7.97 ms
46.2 %	12.01 ms
46.3 %	5.57 ms
46.4 %	6.94 ms
46.5 %	3.91 ms
46.5 %	4.64 ms
46.6 %	0.16 ms
46.6 %	5.20 ms
46.6 %	5.48 ms
