HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 19.0 MB/s
Transfer Rate Maximum : 90.8 MB/s
Transfer Rate Average : 71.1 MB/s
Position 	Transfer Rate
28.0 %	18.40 ms
28.0 %	16.53 ms
28.1 %	11.07 ms
28.2 %	14.98 ms
28.2 %	14.78 ms
28.6 %	22.14 ms
28.6 %	19.02 ms
28.9 %	14.56 ms
28.9 %	13.53 ms
28.9 %	13.69 ms
29.0 %	10.03 ms
29.1 %	17.98 ms
29.1 %	23.55 ms
29.2 %	11.72 ms
29.4 %	16.02 ms
29.4 %	21.08 ms
29.5 %	19.79 ms
29.8 %	15.29 ms
29.8 %	15.78 ms
29.8 %	14.59 ms
29.9 %	12.77 ms
29.9 %	19.27 ms
29.9 %	20.23 ms
30.0 %	16.18 ms
30.0 %	11.02 ms
30.3 %	12.51 ms
30.3 %	16.40 ms
30.3 %	13.27 ms
30.4 %	18.68 ms
30.4 %	17.64 ms
30.4 %	13.74 ms
30.5 %	19.17 ms
30.6 %	17.57 ms
30.7 %	21.23 ms
30.8 %	17.99 ms
31.0 %	10.99 ms
31.2 %	14.61 ms
31.2 %	18.37 ms
31.2 %	16.08 ms
31.4 %	21.47 ms
31.4 %	15.29 ms
31.4 %	18.99 ms
31.4 %	23.78 ms
31.6 %	14.83 ms
31.7 %	11.82 ms
31.8 %	14.33 ms
31.8 %	19.35 ms
31.8 %	18.87 ms
32.0 %	18.58 ms
32.1 %	12.01 ms
32.2 %	14.99 ms
32.2 %	21.21 ms
32.2 %	22.73 ms
32.3 %	19.68 ms
32.4 %	21.52 ms
32.5 %	17.09 ms
32.5 %	21.45 ms
32.7 %	18.17 ms
32.7 %	14.94 ms
32.7 %	19.05 ms
32.8 %	17.70 ms
32.8 %	12.94 ms
32.9 %	14.80 ms
32.9 %	12.76 ms
33.0 %	15.88 ms
33.0 %	14.47 ms
33.1 %	22.34 ms
33.1 %	20.51 ms
33.2 %	18.31 ms
33.3 %	16.71 ms
33.4 %	12.04 ms
33.5 %	22.22 ms
33.5 %	21.37 ms
33.6 %	15.19 ms
33.7 %	21.51 ms
33.8 %	19.08 ms
33.8 %	18.22 ms
34.0 %	19.34 ms
34.1 %	15.39 ms
34.1 %	23.26 ms
34.3 %	17.08 ms
34.4 %	16.14 ms
34.6 %	12.10 ms
34.6 %	17.41 ms
34.6 %	14.21 ms
34.7 %	21.01 ms
34.8 %	16.50 ms
34.9 %	13.44 ms
34.9 %	16.37 ms
34.9 %	18.80 ms
35.1 %	18.42 ms
35.2 %	17.44 ms
35.4 %	21.62 ms
35.5 %	15.10 ms
35.5 %	22.53 ms
35.6 %	16.67 ms
35.6 %	14.23 ms
35.7 %	14.76 ms
35.8 %	17.68 ms
35.8 %	23.08 ms
35.8 %	20.91 ms
35.8 %	21.14 ms
