HD Tune Pro: HITACHI HDS7225SBSUN250G 0650NYWV44OA9CA (#VDS41DT7CYWAHJ) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 27.6 MB/s
Transfer Rate Maximum : 64.6 MB/s
Transfer Rate Average : 53.1 MB/s
Position 	Transfer Rate
10.3 %	7.44 ms
10.3 %	12.23 ms
10.3 %	13.24 ms
10.3 %	14.46 ms
10.6 %	14.51 ms
10.8 %	9.65 ms
10.9 %	8.72 ms
10.9 %	9.18 ms
10.9 %	9.09 ms
11.0 %	8.81 ms
11.0 %	8.74 ms
11.0 %	11.71 ms
11.0 %	7.48 ms
11.1 %	7.87 ms
11.2 %	11.20 ms
11.2 %	8.25 ms
11.3 %	9.14 ms
11.5 %	9.91 ms
11.5 %	8.66 ms
11.6 %	6.74 ms
11.8 %	8.12 ms
11.9 %	10.99 ms
12.1 %	14.88 ms
12.2 %	12.85 ms
12.2 %	12.92 ms
12.3 %	11.34 ms
12.4 %	10.33 ms
12.4 %	12.78 ms
12.5 %	10.58 ms
12.5 %	11.16 ms
12.7 %	15.82 ms
12.7 %	10.49 ms
12.7 %	11.45 ms
12.9 %	8.28 ms
12.9 %	8.97 ms
13.0 %	10.72 ms
13.0 %	13.19 ms
13.0 %	11.99 ms
13.0 %	12.12 ms
13.2 %	8.15 ms
13.4 %	14.00 ms
13.4 %	11.12 ms
13.5 %	11.24 ms
13.5 %	14.81 ms
13.6 %	10.44 ms
13.6 %	13.01 ms
13.7 %	7.59 ms
13.7 %	8.74 ms
13.8 %	10.05 ms
13.8 %	14.88 ms
13.9 %	10.11 ms
14.0 %	10.36 ms
14.0 %	15.39 ms
14.0 %	10.85 ms
14.1 %	11.11 ms
14.3 %	13.97 ms
14.3 %	8.51 ms
14.3 %	16.08 ms
14.4 %	14.52 ms
14.7 %	9.37 ms
14.7 %	7.98 ms
14.9 %	13.99 ms
14.9 %	14.83 ms
15.0 %	9.26 ms
15.0 %	8.14 ms
15.1 %	10.16 ms
15.1 %	13.49 ms
15.1 %	10.70 ms
15.2 %	11.71 ms
15.2 %	12.48 ms
15.2 %	9.11 ms
15.3 %	12.36 ms
15.4 %	12.47 ms
15.5 %	10.80 ms
15.7 %	7.44 ms
15.7 %	12.36 ms
15.9 %	12.43 ms
15.9 %	10.08 ms
15.9 %	7.57 ms
16.0 %	8.37 ms
16.0 %	11.80 ms
16.0 %	8.89 ms
16.1 %	15.80 ms
16.7 %	11.00 ms
16.7 %	13.64 ms
16.7 %	7.15 ms
16.9 %	8.60 ms
16.9 %	11.60 ms
17.0 %	11.07 ms
17.2 %	10.74 ms
17.2 %	12.06 ms
17.2 %	8.68 ms
17.2 %	10.60 ms
17.2 %	10.42 ms
17.3 %	15.18 ms
17.3 %	10.20 ms
17.4 %	9.15 ms
17.5 %	15.14 ms
17.7 %	16.40 ms
17.8 %	12.77 ms
17.8 %	10.59 ms
17.8 %	13.41 ms
18.2 %	14.65 ms
18.2 %	15.99 ms
18.2 %	14.83 ms
18.3 %	11.99 ms
18.3 %	14.20 ms
18.4 %	11.05 ms
18.4 %	12.69 ms
18.5 %	12.65 ms
18.5 %	10.10 ms
18.6 %	11.37 ms
18.6 %	9.60 ms
18.6 %	12.38 ms
18.7 %	8.11 ms
18.8 %	13.28 ms
18.8 %	16.30 ms
19.0 %	14.66 ms
19.1 %	13.55 ms
19.2 %	14.85 ms
19.2 %	8.51 ms
19.4 %	13.98 ms
19.5 %	10.92 ms
19.6 %	16.24 ms
19.7 %	12.95 ms
20.2 %	9.76 ms
20.2 %	14.00 ms
20.2 %	12.24 ms
20.3 %	9.76 ms
20.3 %	12.77 ms
20.3 %	14.94 ms
20.4 %	8.71 ms
20.4 %	12.26 ms
20.4 %	13.30 ms
20.4 %	10.80 ms
20.5 %	9.86 ms
20.5 %	8.56 ms
20.6 %	9.92 ms
20.7 %	12.03 ms
20.7 %	15.00 ms
20.8 %	9.55 ms
20.8 %	9.80 ms
20.8 %	14.55 ms
20.9 %	9.55 ms
20.9 %	16.24 ms
21.1 %	9.75 ms
21.2 %	10.88 ms
21.8 %	15.38 ms
21.9 %	11.33 ms
22.1 %	10.62 ms
22.2 %	13.27 ms
22.2 %	16.47 ms
22.2 %	9.22 ms
22.2 %	10.70 ms
22.3 %	12.45 ms
22.3 %	15.70 ms
22.4 %	12.06 ms
22.4 %	10.68 ms
22.4 %	14.81 ms
22.5 %	15.06 ms
22.5 %	12.17 ms
22.6 %	8.89 ms
22.7 %	14.76 ms
22.7 %	10.24 ms
22.8 %	9.10 ms
22.8 %	12.18 ms
23.0 %	11.82 ms
23.0 %	13.53 ms
23.0 %	10.40 ms
23.1 %	10.53 ms
23.1 %	9.76 ms
23.1 %	14.84 ms
23.2 %	12.22 ms
23.3 %	11.36 ms
23.4 %	12.81 ms
23.4 %	11.11 ms
23.6 %	9.78 ms
23.7 %	10.67 ms
23.8 %	11.85 ms
23.9 %	8.41 ms
23.9 %	11.27 ms
24.0 %	16.95 ms
24.1 %	11.21 ms
24.2 %	8.80 ms
24.6 %	10.57 ms
24.6 %	15.58 ms
24.7 %	15.83 ms
24.8 %	13.06 ms
25.0 %	9.97 ms
25.2 %	11.97 ms
25.2 %	10.08 ms
25.2 %	14.17 ms
25.2 %	8.37 ms
25.3 %	15.25 ms
25.4 %	15.12 ms
25.4 %	12.08 ms
25.5 %	9.91 ms
25.5 %	16.44 ms
25.5 %	13.00 ms
25.6 %	9.65 ms
25.6 %	9.06 ms
25.6 %	14.48 ms
26.1 %	15.51 ms
26.1 %	8.94 ms
26.1 %	9.87 ms
26.1 %	14.05 ms
26.2 %	11.79 ms
26.2 %	15.35 ms
26.3 %	17.36 ms
26.4 %	16.35 ms
26.5 %	15.52 ms
26.7 %	10.15 ms
26.7 %	9.95 ms
26.7 %	16.83 ms
26.7 %	15.70 ms
26.8 %	13.98 ms
27.1 %	11.11 ms
27.2 %	14.29 ms
27.3 %	15.76 ms
27.3 %	12.49 ms
27.3 %	10.72 ms
27.4 %	9.59 ms
27.5 %	8.52 ms
27.6 %	14.26 ms
27.6 %	12.80 ms
27.6 %	10.68 ms
27.7 %	10.60 ms
27.8 %	16.20 ms
27.9 %	10.76 ms
27.9 %	9.24 ms
27.9 %	13.84 ms
28.0 %	8.99 ms
28.1 %	14.06 ms
28.2 %	15.07 ms
28.2 %	16.80 ms
28.3 %	10.67 ms
28.3 %	9.51 ms
