HD Tune Pro: WDC WD2500BEKT-66F3T2 (#     WD-WX81AA010117) Benchmark

Test capacity: full

Read transfer rate
Transfer Rate Minimum : 35.7 MB/s
Transfer Rate Maximum : 73.0 MB/s
Transfer Rate Average : 56.7 MB/s
Position 	Transfer Rate
13.7 %	13.35 ms
13.8 %	15.75 ms
14.0 %	10.25 ms
14.3 %	10.70 ms
14.6 %	12.07 ms
14.6 %	13.33 ms
14.6 %	11.31 ms
14.6 %	10.59 ms
14.6 %	8.25 ms
14.7 %	12.86 ms
14.7 %	16.13 ms
14.8 %	13.10 ms
14.9 %	15.59 ms
14.9 %	14.38 ms
15.0 %	14.03 ms
15.1 %	9.45 ms
15.2 %	8.57 ms
15.3 %	17.69 ms
15.3 %	15.67 ms
15.4 %	15.36 ms
15.4 %	10.47 ms
15.5 %	15.31 ms
15.5 %	8.18 ms
15.5 %	9.30 ms
15.8 %	13.48 ms
15.8 %	10.58 ms
15.8 %	15.76 ms
15.9 %	8.24 ms
15.9 %	16.19 ms
15.9 %	11.97 ms
16.1 %	12.10 ms
16.1 %	9.86 ms
16.3 %	9.21 ms
16.3 %	15.32 ms
16.3 %	14.36 ms
16.6 %	13.10 ms
16.6 %	14.68 ms
16.7 %	14.44 ms
16.8 %	10.73 ms
17.0 %	15.34 ms
17.0 %	15.39 ms
17.2 %	12.93 ms
17.2 %	10.81 ms
17.3 %	14.25 ms
17.4 %	9.28 ms
17.4 %	16.08 ms
17.5 %	13.52 ms
17.5 %	16.30 ms
17.6 %	10.86 ms
17.6 %	10.14 ms
17.8 %	9.43 ms
18.1 %	15.51 ms
18.1 %	11.94 ms
18.3 %	12.11 ms
18.4 %	12.71 ms
18.6 %	11.34 ms
18.9 %	14.21 ms
19.0 %	16.45 ms
19.1 %	11.51 ms
19.3 %	10.61 ms
19.4 %	15.47 ms
19.5 %	9.97 ms
19.5 %	13.63 ms
19.7 %	12.75 ms
19.7 %	8.90 ms
19.8 %	9.14 ms
19.9 %	13.95 ms
19.9 %	10.17 ms
19.9 %	16.04 ms
20.0 %	14.80 ms
20.0 %	11.04 ms
20.0 %	15.53 ms
20.1 %	11.62 ms
20.1 %	11.64 ms
20.3 %	17.71 ms
20.5 %	9.68 ms
20.5 %	11.92 ms
20.5 %	9.79 ms
20.6 %	13.71 ms
20.8 %	16.81 ms
20.9 %	9.02 ms
21.0 %	11.35 ms
21.0 %	10.90 ms
21.0 %	10.74 ms
21.1 %	15.03 ms
21.1 %	14.36 ms
21.2 %	16.01 ms
21.2 %	14.50 ms
21.3 %	15.97 ms
21.4 %	12.30 ms
21.5 %	11.46 ms
21.5 %	15.99 ms
21.6 %	15.49 ms
21.7 %	14.23 ms
21.9 %	14.49 ms
22.1 %	15.45 ms
22.1 %	13.03 ms
22.2 %	12.54 ms
