HD Tune Pro: SAMSUNG HM321HI (#S24PJ9BZA08742) Benchmark

Test capacity: full

Write transfer rate
Transfer Rate Minimum : 16.9 MB/s
Transfer Rate Maximum : 95.1 MB/s
Transfer Rate Average : 73.7 MB/s
Position 	Transfer Rate
7.2 %	6.04 ms
7.4 %	0.09 ms
7.8 %	8.09 ms
8.0 %	5.18 ms
8.1 %	3.21 ms
8.1 %	4.68 ms
8.1 %	6.95 ms
8.1 %	0.33 ms
8.2 %	40.39 ms
8.2 %	0.16 ms
8.3 %	0.24 ms
8.4 %	5.83 ms
8.6 %	4.94 ms
8.6 %	0.09 ms
8.8 %	0.09 ms
8.8 %	32.47 ms
8.8 %	6.92 ms
9.2 %	38.31 ms
9.2 %	4.80 ms
9.4 %	4.35 ms
9.5 %	5.34 ms
9.6 %	8.21 ms
9.6 %	0.09 ms
9.6 %	4.03 ms
9.6 %	4.48 ms
9.6 %	6.24 ms
9.6 %	3.41 ms
9.7 %	6.19 ms
9.8 %	6.83 ms
9.8 %	5.82 ms
9.8 %	6.46 ms
9.9 %	7.58 ms
9.9 %	5.11 ms
9.9 %	6.19 ms
10.0 %	7.89 ms
10.2 %	4.66 ms
10.3 %	6.47 ms
10.3 %	5.97 ms
10.4 %	0.09 ms
10.5 %	6.71 ms
10.5 %	5.06 ms
10.6 %	5.71 ms
10.6 %	7.84 ms
10.7 %	0.10 ms
10.9 %	5.05 ms
11.0 %	5.37 ms
11.0 %	7.53 ms
11.1 %	16.74 ms
11.2 %	4.08 ms
11.3 %	0.09 ms
11.3 %	6.09 ms
11.4 %	14.94 ms
11.4 %	7.30 ms
11.4 %	4.42 ms
11.4 %	5.26 ms
11.5 %	6.34 ms
11.5 %	4.03 ms
11.6 %	5.18 ms
11.6 %	4.97 ms
11.7 %	5.97 ms
11.9 %	5.56 ms
11.9 %	4.51 ms
12.0 %	5.70 ms
12.0 %	6.10 ms
12.0 %	9.57 ms
12.1 %	4.90 ms
12.1 %	5.99 ms
12.1 %	7.49 ms
12.1 %	9.26 ms
12.4 %	10.80 ms
12.5 %	0.10 ms
12.5 %	6.13 ms
12.6 %	7.13 ms
12.7 %	5.88 ms
12.9 %	8.53 ms
12.9 %	0.10 ms
12.9 %	5.96 ms
12.9 %	6.56 ms
13.0 %	0.09 ms
13.0 %	6.48 ms
13.0 %	0.10 ms
13.1 %	6.09 ms
13.2 %	7.19 ms
13.3 %	5.40 ms
13.4 %	8.25 ms
13.4 %	0.32 ms
13.4 %	5.63 ms
13.4 %	0.10 ms
13.7 %	16.70 ms
13.8 %	6.14 ms
14.2 %	0.10 ms
14.2 %	8.22 ms
14.3 %	18.99 ms
14.3 %	4.99 ms
14.3 %	0.09 ms
14.4 %	0.09 ms
14.6 %	4.62 ms
14.6 %	0.09 ms
14.6 %	10.44 ms
14.8 %	6.05 ms
14.8 %	0.26 ms
14.9 %	6.36 ms
14.9 %	4.98 ms
15.0 %	0.09 ms
15.0 %	5.83 ms
15.0 %	8.32 ms
15.1 %	4.93 ms
15.1 %	6.31 ms
15.2 %	5.82 ms
15.2 %	5.72 ms
15.3 %	4.65 ms
15.5 %	11.78 ms
15.5 %	5.12 ms
15.6 %	6.26 ms
15.7 %	6.62 ms
15.7 %	0.09 ms
15.8 %	5.11 ms
15.8 %	0.09 ms
15.9 %	0.09 ms
15.9 %	5.77 ms
16.0 %	0.10 ms
16.1 %	6.22 ms
16.2 %	4.74 ms
16.3 %	0.09 ms
16.3 %	6.20 ms
16.4 %	6.36 ms
16.5 %	5.66 ms
16.6 %	5.32 ms
16.8 %	6.61 ms
16.8 %	10.65 ms
16.8 %	0.09 ms
17.0 %	12.47 ms
17.0 %	3.54 ms
17.0 %	5.83 ms
17.1 %	3.95 ms
17.1 %	5.26 ms
17.1 %	6.77 ms
17.1 %	5.96 ms
17.1 %	6.26 ms
17.3 %	6.55 ms
